search out	Ubik
rasp	1) скрежет; резкий скрежещущий звук а) скрести; тереть
razzle-dazzle	1) суета, суматоха 2) кутёж
reputable	почтенный, уважаемый, достойный уважения
retract	1) втягивать, вбирать 2) брать назад (слова и т. п.) ; отрекаться, отказываться (
rupture	1) разрыв (отношений) 4) трещина (на поверхности земли) ; ущелье, овраг, расселина 1) рвать, разрывать, прорывать (сосуд, оболочку)
salacious	1) похотливый, сладострастный, распутный
sallow	желтоватый, болезненный, землистый (о цвете лица) а) делать жёлтым, землистым, болезненным (о цвете лица)
scrawl	1) писать наспех; писать неразборчиво 1) небрежно написанная записка или письмо 2) небрежный почерк, каракули
scuttle	1) поспешно бежать, удирать 2) отстраняться, увиливать
shoddy	а) дешёвая подделка (с претензией) б) человек с большими претензиями 5) претенциозность; вульгарность а) поддельный, фальшивый, ненастоящий
skulk	1) красться, подкрадываться; прокрасться а) увиливать, уклоняться от работы (обычно притворяясь больным)
slug	1) бездельник, тунеядец, лентяй а) медленно передвигаться, волочить ноги, тащиться б) медлить, мешкаться
smirk	1) притворно или глупо улыбаться; ухмыляться неестественная, самодовольная, притворная или глупая улыбка; ухмылка
smudge	1) грязное пятно, грязь; клякса а) мазать, загрязнять, марать, пачкать, пятнать 2) неумело работать, портить работу
smug	1) щеголеватый; аккуратный, элегантный, подтянутый  1) зубрила; студент, занятый только учёбой и избегающий развлечений а) наряжать, прихорашивать
snarl	1) рык, рычание, ворчание (животного) 2) а) ворчание 1) рычать; огрызаться (о животном) 1) спутанный клубок; путаница,
soporific	а) усыпляющий, навевающий сон, вводящий в сон
spurious	1) поддельный; подложный, фальшивый, фиктивный; ложный, иллюзорный
squawk	
squeak	
stipulate	
stud	
stultify	
supplant	
take over	
taradiddle	
tassel	
tautness	
teeter	
topnotch	
torpid	
totter	
tousle	
transversal	
unctuous	
undulate	
vicarious	
vitiate	
wattle	
wince	
wizened	
Ubik part2	
billfold	
blanch	
blare	
bleakly	
bliss	
brassy	
bravado	
chide	
circumscribe	
cluck	
constituent	
constrict	
covert	
crank	
creak	
cringe	
daze	
debase	
dismal	
abysmal	
dwindle	
encompass	
engulf	
encroach	
envision	
entirety	
exert	
flick	
flit	
fornicate	
frantically	
fussily  суетливый	
gable	
glint	
glisten	
gloat	
gouge	
grit	
grubby	
hoist	
honk	
hurl	
impregnate	
inanity	
indelible	
inexorably	
inflatable	
insidious	
lank	
leer	
lunge	
lustreless	
meager	
mortuary	
mull	
obliterate	
palpitate	
pander	
patsy	
prattle	
prop up	
prudence	
putter	
quaint	
rumble	
saunter	
scrounge	
sedulously	
sputter	
supine	
supplant	
tangible	
tangle	
	
primordial	
	
Whispering mummy, fiery eye (3 investigators)	
rig up	Set up radiospeaker he ~ up
divulge	разглашать, раскрывать, обнародовать
nab	поймать, задержать, схватить на месте преступления
crevice	трещина, расщелина, щель; расселина; излом; разрыв
fiery	firy
smother	suffocate
scoundrel	thug
tend	Uhazhivat'. ~ the lawn and garden
tack	Fix with nails
stow	load
slump	Down
jinx	Cursed thing
haul	t
rickety	unsteady
